,Course title,Course price,Course rating,Course method,Brief description,Course link
26,SSCP: Systems Security Certified Practitioner SSCP 2018 - Cyber Security - Cloud Security - Security Engineer - IT Beveiliging / Security -…,€ 299,"Opleiderscore: star 8,9 ",E-Learning,"🗂 SSCP Systems Security Certified Practitioner 2018| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 P…",https://www.springest.nl//oem-office-elearning-menu/isc-2-systems-security-certified-practitioner-sscp
27,Amazon Web Services AWS: AWS Certified DevOps Engineer – Professional (DOP-C01) - Cloud Computing - Cloud Security - Cyber Security - IT Be…,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 AWS Certified DevOps Engineer – Professional (DOP-C01)| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, interne…",https://www.springest.nl//oem-office-elearning-menu/amazon-web-services-aws-aws-certified-devops-engineer-professional-dop-c01
28,CISSP / Certified Information Systems Security Professional 2018 / IT Beveiliging / Security/ Informatiebeveiliging / IT Auditing & Governa…,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Certified Information Systems Security Professional CISSP 2018| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk,…",https://www.springest.nl//oem-office-elearning-menu/certified-information-systems-security-professional-cissp
29,Cisco: Cisco 300-115 Implementing Cisco IP Switched Networks,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Cisco 300-115 Implementing Cisco IP Switched Networks| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet…",https://www.springest.nl//oem-office-elearning-menu/cisco-300-115-implementing-cisco-ip-switched-networks-switch-v-2-0
30,Cisco: 350-601 DCCOR Implementing and Operating Cisco Data Center Core Technologies - Cisco DCCOR,€ 239,"Opleiderscore: star 8,9 ",E-Learning,"🗂 350-601 Implementing Cisco Data Center Core Technologies DCCOR| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk,…",https://www.springest.nl//oem-office-elearning-menu/cisco-350-601-dcco
31,Cisco CCNP Enterprice ENCOR exam: 350-401 - Cisco Professional (CCDP / CCNP) -,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Cisco 350-401 CCNP Enterprice ENCOR| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mobiel, tab…",https://www.springest.nl//oem-office-elearning-menu/cisco-350-401-implementing-cisco-enterprise-network-core-technologies
32,Microsoft Power BI Data Analyst PL-300 - Microsoft Power Platform - Microsoft Power Automate - Power BI - Business Intelligence - Business …,€ 299,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Microsoft Power BI Data Analyst PL-300 certificeringspakket| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, in…",https://www.springest.nl//oem-office-elearning-menu/pl-300-microsoft-power-bi-data-analyst-2
33,70-334 Microsoft Skype for Business 2015 Trainingspakket,€ 299,"Opleiderscore: star 8,9 ",E-Learning,"🗂 70-334 Microsoft Skype for Business 2015 Trainingspakket| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, inter…",https://www.springest.nl//oem-office-elearning-menu/70-334-core-solutions-of-microsoft-skype-for-business-2015
34,70-341 Core Solutions of Microsoft Exchange Server 2013,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 70-341 Core Solutions of Microsoft Exchange Server 2013| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, intern…",https://www.springest.nl//oem-office-elearning-menu/70-341-core-solutions-of-microsoft-exchange-server-2013
35,MS-100 Microsoft 365 Identity and Services - Microsoft Azure - Cloud Computing - Windows Azure,€ 359,"Opleiderscore: star 8,9 ",E-Learning,"🗂 MS-100 Microsoft 365 Identity and Services| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mobi…",https://www.springest.nl//oem-office-elearning-menu/ms-100-microsoft-365-identity-and-services-2
36,Cisco: Designing for Cisco Internetwork Solutions (DESGN) Exam 200-310,€ 299,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Designing for Cisco Internetwork Solutions (DESGN) Exam 200-310| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk…",https://www.springest.nl//oem-office-elearning-menu/cisco-200-310-designing-for-cisco-internetwork-solutions-desgn
37,Microsoft Azure: AZ-300 Microsoft Azure Architect Technologies - Databases - Database ontwerp / design - Windows Azure - Azure IaaS - Cloud…,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 AZ-300 Microsoft Azure Architect Technologies| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, m…",https://www.springest.nl//oem-office-elearning-menu/az-300-microsoft-azure-architect-technologies-2
38,AZ-400 Microsoft Azure DevOps Solutions  - Microsoft Azure - Cloud Computing - Windows Azure - DevOps,€ 299,"Opleiderscore: star 8,9 ",E-Learning,"🗂 AZ-400 Microsoft Azure DevOps Solutions| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mobiel,…",https://www.springest.nl//oem-office-elearning-menu/azure-az-400-microsoft-azure-devops-solutions
39,Cisco 200-901 DevNet Associate,€ 299,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Cisco 200-901 DevNet Associate| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mobiel, tablet |…",https://www.springest.nl//oem-office-elearning-menu/cisco-200-901-devnet-associate
40,Microsoft MS-203: MS-203 Microsoft 365,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 MS-203 Microsoft 365 Messaging | 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mobiel, tablet …",https://www.springest.nl//oem-office-elearning-menu/ms-203-microsoft-365-messaging
41,Cisco: Cisco 300-410 Implementing Cisco Enterprise Advanced Routing and Services ENARSI,€ 369,"Opleiderscore: star 8,9 ",E-Learning,🗂 Cisco 300-410 Implementing Cisco Enterprise Advanced Routing and Services ENARSI| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden…,https://www.springest.nl//oem-office-elearning-menu/cisco-cisco-300-410-implementing-cisco-enterprise-advanced-routing-and-services
42,Cisco: Cisco 200-201 Understanding Cisco Cybersecurity Operations Fundamentals (CBROPS) - IT voor niet IT-ers,€ 369,"Opleiderscore: star 8,9 ",E-Learning,🗂 Cisco 200-201 Understanding Cisco Cybersecurity Operations Fundamentals (CBROPS)| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden…,https://www.springest.nl//oem-office-elearning-menu/cisco-cisco-200-201-understanding-cisco-cybersecurity-operations-fundamentals-cbrops
43,AZ-305 Designing Microsoft Azure Infrastructure Solutions - Microsoft Azure - Cloud Computing - Windows Azure,€ 299,"Opleiderscore: star 8,9 ",E-Learning,"🗂 AZ-305 Designing Microsoft Azure Infrastructure Solutions| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, inte…",https://www.springest.nl//oem-office-elearning-menu/designing-microsoft-azure-infrastructure-solutions-az-305
44,Amazon Web Services AWS: AWS Certified Developer - Associate DVA-C01 - Cloud Computing - Cloud Security - Cyber Security - IT Beveiliging /…,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 AWS Certified Developer - Associate DVA-C01| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mob…",https://www.springest.nl//oem-office-elearning-menu/aws-certified-developer-associate
45,70-497 Software Testing with Visual Studio,€ 329,"Opleiderscore: star 8,9 ",E-Learning,"🗂 70-497 Software Testing with Visual Studio| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mobi…",https://www.springest.nl//oem-office-elearning-menu/70-497-software-testing-with-visual-studio
46,Querying Data with Transact-SQL exam 70-761,€ 399,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Querying Data with Transact-SQL exam 70-761| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mob…",https://www.springest.nl//oem-office-elearning-menu/https-www-officeelearningmenu-nl-nl-querying-data-with-transact-sql-exam-70-761-html
47,70-331 Core Solutions of Microsoft SharePoint Server 2013,€ 379,"Opleiderscore: star 8,9 ",E-Learning,"🗂 70-331 Core Solutions of Microsoft SharePoint Server 2013| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, inte…",https://www.springest.nl//oem-office-elearning-menu/70-331-core-solutions-of-microsoft-sharepoint-server-2013
48,70-414 Implementing an Advanced Server Infrastructure Online,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 70-414 Implementing an Advanced Server Infrastructure Online| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, i…",https://www.springest.nl//oem-office-elearning-menu/70-414-implementing-an-advanced-server-infrastructure-online
49,C# 70-483 Programming in C# Update - Programmeren (algemeen),€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 C# 70-483 Programming in C# Update| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mobiel, tabl…",https://www.springest.nl//oem-office-elearning-menu/70-483-programming-in-c
50,"70-740 Microsoft Windows Server 2016 Installation, Storage and Computing - MCSA Windows Server 2016",€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 70-740 Microsoft Windows Server 2016 Installation, Storage and Computing - MCSA Windows Server 2016| 🇬🇧 Taal: Engels | 🗓 Abonnement: per …",https://www.springest.nl//oem-office-elearning-menu/online-training-70-740-microsoft-windows-server-2016-intallation-storage-and-computing
51,Microsoft Azure: MS-101 Microsoft 365 Mobility and Security  - Microsoft Azure - Cloud Computing - Windows Azure - Cloud Security,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 MS-101 Microsoft 365 Mobility and Security| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mobi…",https://www.springest.nl//oem-office-elearning-menu/ms-101-microsoft-365-mobility-and-security-3
52,AZ-900 Microsoft Azure Fundamentals - Microsoft Azure - Cloud Computing - Azure IaaS - Windows Azure- IT voor niet IT-ers - Cloud Security,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 AZ-900 Microsoft Azure Fundamentals certificeringspakket| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, inter…",https://www.springest.nl//oem-office-elearning-menu/microsoft-azure-fundamentals-az-900-update
53,Microsoft Azure: AZ-304 Microsoft Azure Architect Designs - Databases - Database ontwerp / design - Windows Azure - Azure IaaS - Cloud Comp…,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 AZ-304 Microsoft Azure Architect Designs| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mobiel…",https://www.springest.nl//oem-office-elearning-menu/az-304-microsoft-azure-architect-designs
54,Cisco: Implementing and Operating Cisco Collaboration Core Technologies CLCOR 350-801,€ 279,"Opleiderscore: star 8,9 ",E-Learning,🗂 Implementing and Operating Cisco Collaboration Core Technologies CLCOR 350-801| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: …,https://www.springest.nl//oem-office-elearning-menu/cisco-cisco-350-801-implementing-and-operating-cisco-collaboration-core-technologies-clcor
55,MS-700 Managing Microsoft Teams - Microsoft Office 365 - Online communicatie - Digitale communicatie - Vergaderen - Effectief vergaderen - …,€ 299,"Opleiderscore: star 8,9 ",E-Learning,"🗂 MS-700 Managing Microsoft Teams| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mobiel, tablet …",https://www.springest.nl//oem-office-elearning-menu/microsoft-ms-700-managing-microsoft-teams
56,Project Management Professional PMP 2021 Update - Projectmanagement - Agile Project Management (AgilePM) - PMI-USA / PMBOK - Projectleider …,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Project Management Professional PMP 2021| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mobiel…",https://www.springest.nl//oem-office-elearning-menu/project-management-professional-pmp-2021-update
57,70-357 Developing Mobile Apps Trainingspakket,€ 299,"Opleiderscore: star 8,9 ",E-Learning,"🗂 1Z0-815 Java SE 11 Programmer I - Programmeren (algemeen)| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, inte…",https://www.springest.nl//oem-office-elearning-menu/70-357-developing-mobile-apps
58,Certified Ethical Hacker CEH v11 - Ethical Hacking - EC-Council - IT Beveiliging / Security - IT Security,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Certified Ethical Hacker (CEH) v11| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mobiel, tabl…",https://www.springest.nl//oem-office-elearning-menu/certified-ethical-hacker-ceh-v11
59,Microsoft Azure: Developing Microsoft Azure and Web Services exam 70-487-Updated,€ 379,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Developing Microsoft Azure and Web Services exam 70-487-Updated| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk…",https://www.springest.nl//oem-office-elearning-menu/developing-microsoft-azure-and-web-services-exam-70-487-updated
60,Java: Java SE 8 Programming exam IZ0-808 - J2EE - Java Certified Associate - Java 7 - Java 8 - Programmeren (algemeen) - Functioneel progra…,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Java SE 8 Programming exam IZ0-808| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mobiel, tabl…",https://www.springest.nl//oem-office-elearning-menu/java-se-8-programming-exam-iz0-808
61,Java: Java SE 8 Programming II exam IZ0-809 - J2EE - Java Certified Associate - Java 7 - Java 8 - Programmeren (algemeen) - Functioneel pro…,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Java SE 8 Programming II exam IZ0-809| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mobiel, t…",https://www.springest.nl//oem-office-elearning-menu/java-se-8-programming-ii-exam-iz0-809
62,70-347 Enabling Office 365 Services,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 70-347 Enabling Office 365 Services| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mobiel, tab…",https://www.springest.nl//oem-office-elearning-menu/70-347-enabling-office-365-services
63,SSCP: Systems Security Certified Practitioner SSCP 2021 - Cyber Security - Cloud Security - Security Engineer - IT Beveiliging / Security -…,€ 299,"Opleiderscore: star 8,9 ",E-Learning,"🗂 Systems Security Certified Practitioner SSCP 2021| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 P…",https://www.springest.nl//oem-office-elearning-menu/sscp-sscp-systems-security-certified-practitioner-2021
64,AZ-103 Microsoft Azure Administrator - Microsoft Azure - Azure IaaS - Cloud Computing - Windows Azure,€ 369,"Opleiderscore: star 8,9 ",E-Learning,"🗂 AZ-103 Microsoft Azure Administrator| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaar | 🎯Vakgebieden: IT, persoonlijk, internet.📲 PC, mobiel, ta…",https://www.springest.nl//oem-office-elearning-menu/azure-microsoft-azure-administrator-exam-az-103
65,70-465 Designing Database Solutions for SQL Server 2012 - SQL - SQL Server- Microsoft SQL Server,€ 369,"Opleiderscore: star 8,9 ",E-Learning,🗂 70-465 Designing Database Solutions for SQL Server 2012 - SQL - SQL Server- Microsoft SQL Server| 🇬🇧 Taal: Engels | 🗓 Abonnement: per jaa…,https://www.springest.nl//oem-office-elearning-menu/70-465-designing-database-solutions-for-sql-server-2012
